Airline company;Departure;Destination;Frequency;Time of departure;Time of arrival;Flight number
Albawings;Ancona;Tirana;Thursday, Sunday;14:00;15:15;2B196
Lufthansa;Ancona;Monk;Everyday;13:25;14:40;LH1899
Ryanair;Ancona;London Stansed;Tuesday;21:35;22:55;FR125
Ryanair;Ancona;London Stansed;Thursday;15:45;17:05;FR125
Ryanair;Ancona;London Stansed;Saturday;10:15;11:35;FR125
Ryanair;Ancona;London Stansed;Sunday;21:35;22:55;FR125
Ryanair;Ancona;Brusselles Charleroi;Tuesday;14:15;16:10;FR8043
Ryanair;Ancona;Brusselles Charleroi;Saturday;16:35;18:30;FR8043
Ryanair;Ancona;Cracow;Thursday;14:35;16:20;FR4491
Ryanair;Ancona;Cracow;Sunday;14:25;16:10;FR4491
Volotea;Ancona;Catania;Friday, Sunday;18:15;19:45;V71703
Volotea;Ancona;Palermo;Monday, Thursday;16:00;17:20;V71511
WizzAir;Ancona;Tirana;Monday, Friday;17:30;18:45;W63856
Albawings;Tirana;Ancona;Thursday, Sunday;12:00;13:15;2B195
Lufthansa;Monk;Ancona;Tuesday;11:35;12:50;LH1898
Ryanair;London Stansed;Ancona;Everyday;17:50;21:10;FR124
Ryanair;London Stansed;Ancona;Thursday;11:50;15:10;FR124
Ryanair;London Stansed;Ancona;Saturday;06:30;09:50;FR124
Ryanair;London Stansed;Ancona;Sunday;17:50;21:10;FR124
Ryanair;Brusselles Charleroi;Ancona;Tuesday;12:05;13:50;FR8042
Ryanair;Brusselles Charleroi;Ancona;Saturday;14:25;16:10;FR8042
Ryanair;Cracow;Ancona;Thursday;12:25;14:10;FR4490
Ryanair;Cracow;Ancona;Sunday;12:15;14:00;FR4490
Volotea;Catania;Ancona;Friday, Sunday;16:15;17:45;V71704
Volotea;Palermo;Ancona;Monday, Thursday;14:00;15:20;V71512
WizzAir;Tirana;Ancona;Monday, Friday;15:35;16:55;W63855
